STATION,NAME,DATE,AWND,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USS0005J41S,"LAKE ELDORA, CO US",2018,,16,215,,-11,40,,1,81,8476,24.51,,40.8,50,31.7,,,,
USS0005J41S,"LAKE ELDORA, CO US",2019,,10,223,,-9,58,,1.1,79,9427,29.12,,39.4,48.8,30,,,,
USS0005J41S,"LAKE ELDORA, CO US",2020,,17,205,,-6,62,,1.6,80,9110,24.72,,40.9,50.5,31.4,,,,
USC00054135,"HOURGLASS RESERVOIR, CO US",2016,,,177,64,,48,24,1.16,,9545,24.38,219.9,,,,,,,
USC00054135,"HOURGLASS RESERVOIR, CO US",2017,,,185,72,,36,24,,,,,287.4,,,,,,,
USC00054135,"HOURGLASS RESERVOIR, CO US",2018,,7,192,69,-15,31,9,1.08,87,9129,23.58,203.9,38.2,51.2,25.2,,,,
USC00054135,"HOURGLASS RESERVOIR, CO US",2019,,7,203,69,-20,45,20,2.1,85,10163,27.61,233.3,36.6,49.4,23.8,,,,
USC00054135,"HOURGLASS RESERVOIR, CO US",2020,,0,198,59,-21,46,18,1.2,83,9908,22.55,197.4,38,51.2,24.7,,,,
USC00051660,"CLIMAX, CO US",2015,,0,225,79,-18,60,12,0.84,73,11399,25.67,254.7,33.8,45.7,22,,,,
USC00051660,"CLIMAX, CO US",2016,,0,204,77,-15,63,18,1.1,78,11416,25.04,297.5,34.4,46.6,22.3,,,,
USC00051660,"CLIMAX, CO US",2017,,,234,78,,62,20.5,1.35,,11028,27.17,334.1,,,,,,,
USC00051660,"CLIMAX, CO US",2018,,,222,76,-21,69,16,1.2,,,24,298.2,,,20.4,,,,
USC00051660,"CLIMAX, CO US",2019,,,242,94,-22,94,20,0.88,,,28.09,364.1,,,19.3,,,,
USC00051660,"CLIMAX, CO US",2020,,0,210,78,-22,68,11,1.01,78,11412,21.87,270.5,34,47.1,20.8,,,,
USC00052790,"EVERGREEN, CO US",2015,,53,97,30,-10,17,15.5,2.05,89,7275,28.56,107.2,45.3,60.6,30,,,,
USC00052790,"EVERGREEN, CO US",2016,,91,74,20,-12,30,25,1.38,92,7123,14.91,103.4,45.8,62.1,29.4,,,,
USC00052790,"EVERGREEN, CO US",2017,,73,35,15,-12,15,15,1.12,90,6827,17.66,63.4,46.1,61.9,30.4,,,,
USC00052790,"EVERGREEN, CO US",2018,,95,40,17,-9,6,6,1.38,93,6910,13.78,45.4,45.5,61.5,29.5,,,,
USC00052790,"EVERGREEN, CO US",2019,,111,105,32,-10,12,12,1.39,92,7865,21.08,120.9,43.9,59.6,28.2,,,,
USC00052790,"EVERGREEN, CO US",2020,,104,69,26,-9,14,7,1.03,91,7263,12.28,77.8,45.2,61.7,28.6,,,,
USS0005J05S,"WILD BASIN, CO US",2015,,0,227,,-8,59,,1.8,80,9031,31.49,,40.5,50.2,30.9,,,,
USS0005J05S,"WILD BASIN, CO US",2016,,8,203,,-13,58,,1.1,82,9028,29.1,,40.6,50.4,30.8,,,,
USS0005J05S,"WILD BASIN, CO US",2017,,3,253,,-16,65,,2.5,84,8830,40.82,,40.6,50.2,31,,,,
USS0005J05S,"WILD BASIN, CO US",2018,,2,227,,-13,49,,1,84,8781,26.33,,40.1,50,30.2,,,,
USS0005J05S,"WILD BASIN, CO US",2019,,2,243,,-12,69,,1.3,80,9711,33.71,,38.6,48.5,28.8,,,,
USS0005J05S,"WILD BASIN, CO US",2020,,1,236,,-8,71,,1.4,81,9338,24.63,,40,50.4,29.5,,,,
US1COLR0412,"FORT COLLINS 2.9 NW, CO US",2015,,,,,,,,1.86,,,21.14,,,,,,,,
US1COLR0412,"FORT COLLINS 2.9 NW, CO US",2016,,,,,,,,1.11,,,12.15,,,,,,,,
US1COLR0412,"FORT COLLINS 2.9 NW, CO US",2017,,,,,,,,2.51,,,18.2,,,,,,,,
US1COLR0412,"FORT COLLINS 2.9 NW, CO US",2018,,,,,,,,1.69,,,14.28,,,,,,,,
US1COLR0412,"FORT COLLINS 2.9 NW, CO US",2019,,,,,,,,1.3,,,17.28,,,,,,,,
US1COLR0412,"FORT COLLINS 2.9 NW, CO US",2020,,,,,,,,1.12,,,12.95,,,,,,,,
USR0000CDRA,"DRAGON ROAD COLORADO, CO US",2015,,684,,,-11,,,,98,5843,,,50.5,62.7,38.3,,,,
USR0000CDRA,"DRAGON ROAD COLORADO, CO US",2016,,784,,,-6,,,,98,6415,,,49.9,61.9,37.8,,,,
USR0000CDRA,"DRAGON ROAD COLORADO, CO US",2017,,830,,,-12,,,,98,5821,,,50.7,62.9,38.5,,,,
USR0000CDRA,"DRAGON ROAD COLORADO, CO US",2018,,968,,,-1,,,,97,5864,,,50.6,62.5,38.6,,,,
USR0000CDRA,"DRAGON ROAD COLORADO, CO US",2019,,790,,,-7,,,,96,7089,,,47.6,59.4,35.8,,,,
USR0000CDRA,"DRAGON ROAD COLORADO, CO US",2020,,963,,,-2,,,,98,6714,,,49.6,62.1,37.2,,,,
USR0000CRED,"RED DEER COLORADO, CO US",2015,,,,,,,,,,7346,,,,,,,,,
USR0000CRED,"RED DEER COLORADO, CO US",2016,,47,,,-6,,,,87,,,,44.7,57.8,31.5,,,,
USR0000CRED,"RED DEER COLORADO, CO US",2017,,27,,,-9,,,,87,7159,,,45.4,58.3,32.5,,,,
USR0000CRED,"RED DEER COLORADO, CO US",2018,,67,,,-1,,,,88,6990,,,44.8,57.9,31.6,,,,
USR0000CRED,"RED DEER COLORADO, CO US",2019,,38,,,-5,,,,87,8304,,,42.6,55.7,29.4,,,,
USR0000CRED,"RED DEER COLORADO, CO US",2020,,82,,,-9,,,,89,7654,,,44.6,58.4,30.8,,,,
US1COGN0040,"GUNNISON 6.6 N, CO US",2015,,,,,,,,0.75,,,13.87,,,,,,,,
US1COGN0040,"GUNNISON 6.6 N, CO US",2016,,,,,,,,0.77,,,13.76,,,,,,,,
US1COGN0040,"GUNNISON 6.6 N, CO US",2017,,,,,,,,0.51,,,11.54,,,,,,,,
US1COGN0040,"GUNNISON 6.6 N, CO US",2018,,,,,,,,1.08,,,9.67,,,,,,,,
US1COGN0040,"GUNNISON 6.6 N, CO US",2019,,,,,,,,0.98,,,14.02,,,,,,,,
US1COGN0040,"GUNNISON 6.6 N, CO US",2020,,,,,,,,0.68,,,9.06,,,,,,,,
USC00053246,"GATEWAY 1 ENE, CO US",2015,,1086,,7,4,,2.5,0.87,102,4504,18.6,12,55.2,69.9,40.6,,,,
USC00053246,"GATEWAY 1 ENE, CO US",2016,,1147,8,5,2,2,3.5,1.17,104,4950,12.87,11.3,55.4,70.2,40.5,,,,
USC00053246,"GATEWAY 1 ENE, CO US",2017,,1373,4,4,1,3,2.5,0.69,105,4119,7.21,6,57.2,73.2,41.1,,,,
USC00053246,"GATEWAY 1 ENE, CO US",2018,,1584,1,4,9,2,1.8,1.14,103,4311,10.32,8.8,56.9,72.3,41.6,,,,
USC00053246,"GATEWAY 1 ENE, CO US",2019,,1211,27,10,1,6,7,1.34,100,4614,14.75,29.2,55.8,70.1,41.6,,,,
USC00053246,"GATEWAY 1 ENE, CO US",2020,,1440,21,4,9,4,1.9,0.76,103,4449,6.26,11.2,56.8,72.3,41.3,,,,
USR0000CCHN,"CHAPIN COLORADO, CO US",2015,,665,,,9,,,,94,5041,,,52.4,63.4,41.5,,,,
USR0000CCHN,"CHAPIN COLORADO, CO US",2016,,701,,,5,,,,98,5469,,,52.2,63.5,40.9,,,,
USR0000CCHN,"CHAPIN COLORADO, CO US",2017,,818,,,4,,,,96,5205,,,53.6,64.9,42.2,,,,
USR0000CCHN,"CHAPIN COLORADO, CO US",2018,,,,,,,,,,4722,,,,,,,,,
USR0000CCHN,"CHAPIN COLORADO, CO US",2020,,1003,,,4,,,,96,,,,53.4,65.4,41.4,,,,
USS0007J03S,"BEAR RIVER, CO US",2015,,0,214,,-8,43,,0.6,80,9297,21.7,,39.2,50.7,27.8,,,,
USS0007J03S,"BEAR RIVER, CO US",2016,,0,194,,-16,42,,0.9,81,9763,22.71,,38.6,50.5,26.7,,,,
USS0007J03S,"BEAR RIVER, CO US",2017,,0,240,,-16,35,,1.5,80,9351,24.32,,39.6,51.3,27.9,,,,
USS0007J03S,"BEAR RIVER, CO US",2018,,4,225,,-18,39,,0.7,83,9288,19.52,,38.5,50.7,26.3,,,,
USS0007J03S,"BEAR RIVER, CO US",2019,,0,239,,-12,50,,1.6,78,10279,27.74,,37,48.9,25.1,,,,
USS0007J03S,"BEAR RIVER, CO US",2020,,0,216,,-18,51,,1,80,9842,19.33,,38.2,50.6,25.8,,,,
US1COEP0055,"MONUMENT 2.9 N, CO US",2015,,,,,,,,1.55,,,28.87,,,,,,,,
US1COEP0055,"MONUMENT 2.9 N, CO US",2016,,,,29,,,21.8,2.23,,,20.11,128.5,,,,,,,
US1COEP0055,"MONUMENT 2.9 N, CO US",2017,,,,22,,,11.3,1.39,,,20.51,85.7,,,,,,,
US1COEP0055,"MONUMENT 2.9 N, CO US",2018,,,,,,,,0.55,,,14.66,,,,,,,,
US1COEP0055,"MONUMENT 2.9 N, CO US",2019,,,,,,,,1.45,,,21.83,,,,,,,,
US1COEP0055,"MONUMENT 2.9 N, CO US",2020,,,,,,,,1.21,,,12.87,,,,,,,,
USS0005K21S,"JONES PASS, CO US",2015,,0,236,,-9,53,,1,74,10241,34.63,,36.6,47.3,25.9,,,,
USS0005K21S,"JONES PASS, CO US",2016,,0,219,,-14,70,,1,76,10638,32.52,,36.2,47.2,25.3,,,,
USS0005K21S,"JONES PASS, CO US",2017,,0,222,,-16,52,,1.4,75,10130,35.33,,37.1,48,26.3,,,,
USS0005K21S,"JONES PASS, CO US",2018,,,231,,-10,59,,1.2,,9800,30.32,,,,25,,,,
USS0005K21S,"JONES PASS, CO US",2019,,,253,,,75,,1.1,,,32,,,,,,,,
USS0005K21S,"JONES PASS, CO US",2020,,,244,,,61,,1.1,,,29.32,,,,,,,,
USS0005J12S,"STILLWATER CREEK, CO US",2015,,0,160,,-13,32,,1.2,81,8619,16.63,,41.3,54.2,28.3,,,,
USS0005J12S,"STILLWATER CREEK, CO US",2016,,3,176,,-13,35,,0.8,85,8966,18.3,,40.9,54.4,27.4,,,,
USS0005J12S,"STILLWATER CREEK, CO US",2017,,0,172,,-17,39,,0.7,83,8582,16.93,,41.7,54.9,28.5,,,,
USS0005J12S,"STILLWATER CREEK, CO US",2018,,,175,,-7,24,,0.7,84,8359,15.61,,40.9,54.4,27.4,,,,
USS0005J12S,"STILLWATER CREEK, CO US",2019,,0,196,,-10,44,,0.7,84,,18.04,,39.2,52.7,25.6,,,,
USS0005J12S,"STILLWATER CREEK, CO US",2020,,,179,,,45,,0.8,,9125,16.03,,,,,,,,
USS0006L02S,"PARK CONE, CO US",2015,,0,201,,-21,40,,0.6,80,9888,19.21,,37.6,51.9,23.3,,,,
USS0006L02S,"PARK CONE, CO US",2016,,0,179,,-28,36,,1.4,83,10363,17.51,,36.6,51.7,21.5,,,,
USS0006L02S,"PARK CONE, CO US",2017,,0,203,,-28,60,,1.1,79,9930,23.11,,38.2,52.4,23.9,,,,
USS0006L02S,"PARK CONE, CO US",2018,,0,210,,-21,27,,1,82,9745,12.63,,36.4,52.1,20.8,,,,
USS0006L02S,"PARK CONE, CO US",2019,,0,224,,-30,60,,0.9,77,10915,24.13,,34.8,49.8,19.7,,,,
USS0006L02S,"PARK CONE, CO US",2020,,0,206,,-25,43,,1,82,10512,17.44,,36.2,52,20.5,,,,
US1COGF0049,"CARBONDALE 4.6 NNE, CO US",2015,,,,,,,,1.18,,,23.2,,,,,,,,
US1COGF0049,"CARBONDALE 4.6 NNE, CO US",2016,,,117,,,29,,,,,,,,,,,,,
US1COGF0049,"CARBONDALE 4.6 NNE, CO US",2018,,,118,26,,13,5.5,1.36,,,18.85,71.1,,,,,,,
US1COGF0049,"CARBONDALE 4.6 NNE, CO US",2019,,,148,33,,25,5.7,0.83,,,20.11,83.6,,,,,,,
US1COGF0049,"CARBONDALE 4.6 NNE, CO US",2020,,,123,27,,24,12.5,1.03,,,13.91,76.8,,,,,,,
